# Simulation parameters
# ----------------------------------------
# M rows = 51
# N cols = 51
# p_init_C = 0.500000
# sharing = False
# ----------------------------------------
# competition type:
# roulette = False
# tournament = True
# ----------------------------------------
# strategies:
# all-C = 0.200000
# all-D = 0.200000
# k-D = 0.200000
# k-C = 0.200000
# k-DC = 0.200000
# k_var (from to)
# min = 0 max = 8
# ----------------------------------------
# mutation:
# p_state_mut = 0.000000
# p_strat_mut = 0.000000
# p_0_neigh_mut = 0.300000
# p_1_neigh_mut = 0.100000
# ----------------------------------------
# synch_prob = 0.200000
# optimal_num_1s = 676
# ----------------------------------------
# seed = 5789302786441754
# num_of_iter = 200
# num_of_exper = 5
# ----------------------------------------
# debug = False
# read_CA_state_deb = False
# read_CA_strat_deb = False
# ----------------------------------------
# test_1 = False
# test_2 = False
# test_3 = False
# ----------------------------------------
# payoff function:
# d: 1.000000	c: 0.000000
# b: 1.200000	a: 0.100000
# ----------------------------------------

#  1          2          3            4               5             6             7            8             9            10            11           12           13          14           15         16        17          18        19         20          21            22              23                 24                   25
# iter     av_f_C     std_f_C    av_f_C_corr    std_f_C_corr    av_av_pay    std_av_pay    av_f_cr_0s   std_f_cr_0s   av_f_cr_1s   std_f_cr_1s   av_f_allC   std_f_allC   av_f_allD   std_f_allD   av_f_kD   std_f_kD    av_f_kC   std_f_kC   av_f_kDC   std_f_kDC   av_f_strat_ch   std_f_strat_ch   av_f_strat_ch_fin   std_f_strat_ch_fin
   125      0.21        0.01         0.39           0.02           0.34         0.03          0.07         0.02          0.12          0.01         0.00        0.00         0.28        0.03        0.02      0.01       0.32       0.14       0.39        0.14         0.83             0.03               0.75                 0.02
   126      0.21        0.01         0.39           0.02           0.34         0.02          0.07         0.01          0.12          0.01         0.00        0.00         0.28        0.03        0.01      0.01       0.32       0.14       0.39        0.14         0.82             0.02               0.75                 0.02
   127      0.21        0.01         0.39           0.01           0.34         0.02          0.07         0.01          0.12          0.01         0.00        0.00         0.27        0.03        0.02      0.01       0.32       0.14       0.39        0.14         0.83             0.02               0.75                 0.02
   128      0.21        0.01         0.39           0.02           0.34         0.02          0.07         0.01          0.12          0.01         0.00        0.00         0.27        0.03        0.02      0.01       0.32       0.14       0.40        0.14         0.83             0.02               0.75                 0.02
   129      0.21        0.01         0.39           0.02           0.34         0.03          0.08         0.02          0.12          0.01         0.00        0.00         0.27        0.03        0.01      0.01       0.32       0.15       0.39        0.15         0.82             0.03               0.75                 0.03
   130      0.21        0.01         0.39           0.01           0.34         0.02          0.07         0.01          0.12          0.01         0.00        0.00         0.26        0.03        0.01      0.01       0.32       0.15       0.39        0.15         0.83             0.02               0.75                 0.02
   131      0.21        0.01         0.39           0.02           0.34         0.02          0.07         0.01          0.12          0.01         0.00        0.00         0.26        0.03        0.01      0.01       0.32       0.15       0.40        0.15         0.83             0.02               0.75                 0.02
   132      0.21        0.02         0.39           0.01           0.34         0.02          0.07         0.01          0.12          0.01         0.00        0.00         0.26        0.04        0.01      0.01       0.32       0.15       0.40        0.15         0.82             0.02               0.74                 0.02
   133      0.21        0.01         0.40           0.01           0.35         0.02          0.07         0.01          0.11          0.01         0.00        0.00         0.26        0.03        0.01      0.01       0.32       0.14       0.40        0.15         0.83             0.02               0.75                 0.02
   134      0.21        0.01         0.40           0.01           0.35         0.02          0.07         0.01          0.11          0.01         0.00        0.00         0.26        0.03        0.01      0.01       0.32       0.15       0.40        0.15         0.83             0.01               0.76                 0.01
   135      0.21        0.01         0.40           0.01           0.35         0.02          0.07         0.01          0.12          0.01         0.00        0.00         0.26        0.03        0.01      0.01       0.32       0.15       0.40        0.15         0.83             0.01               0.76                 0.01
   136      0.21        0.01         0.41           0.01           0.35         0.02          0.07         0.01          0.11          0.01         0.00        0.00         0.26        0.03        0.01      0.01       0.33       0.15       0.40        0.15         0.83             0.01               0.75                 0.02
   137      0.21        0.01         0.40           0.01           0.35         0.02          0.08         0.01          0.11          0.01         0.00        0.00         0.26        0.03        0.01      0.01       0.33       0.15       0.40        0.15         0.83             0.02               0.75                 0.02
   138      0.21        0.01         0.40           0.01           0.35         0.02          0.07         0.01          0.12          0.01         0.00        0.00         0.26        0.03        0.01      0.01       0.33       0.15       0.40        0.15         0.83             0.02               0.75                 0.02
   139      0.21        0.02         0.40           0.01           0.35         0.02          0.07         0.02          0.12          0.01         0.00        0.00         0.26        0.03        0.01      0.01       0.33       0.15       0.40        0.15         0.83             0.01               0.75                 0.01
   140      0.21        0.01         0.40           0.01           0.35         0.02          0.07         0.01          0.12          0.01         0.00        0.00         0.25        0.04        0.01      0.01       0.33       0.15       0.41        0.15         0.83             0.01               0.75                 0.01
   141      0.21        0.01         0.41           0.01           0.35         0.02          0.07         0.01          0.12          0.02         0.00        0.00         0.25        0.04        0.01      0.01       0.33       0.15       0.41        0.15         0.84             0.02               0.76                 0.02
   142      0.21        0.01         0.41           0.02           0.35         0.02          0.07         0.01          0.11          0.02         0.00        0.00         0.25        0.04        0.01      0.01       0.33       0.15       0.41        0.16         0.84             0.01               0.76                 0.01
   143      0.21        0.01         0.41           0.02           0.36         0.02          0.07         0.01          0.11          0.02         0.00        0.00         0.25        0.04        0.01      0.01       0.33       0.15       0.41        0.16         0.84             0.01               0.76                 0.01
   144      0.21        0.01         0.42           0.01           0.35         0.02          0.07         0.02          0.11          0.01         0.00        0.00         0.24        0.04        0.01      0.01       0.33       0.15       0.41        0.16         0.83             0.02               0.76                 0.02
   145      0.21        0.01         0.41           0.01           0.36         0.02          0.07         0.01          0.11          0.01         0.00        0.00         0.24        0.04        0.01      0.01       0.33       0.15       0.41        0.16         0.84             0.02               0.76                 0.01
   146      0.21        0.01         0.41           0.01           0.36         0.02          0.07         0.01          0.11          0.01         0.00        0.00         0.24        0.04        0.01      0.01       0.33       0.15       0.41        0.16         0.83             0.02               0.76                 0.02
   147      0.21        0.01         0.41           0.01           0.36         0.02          0.07         0.01          0.11          0.01         0.00        0.00         0.24        0.04        0.01      0.01       0.33       0.15       0.41        0.16         0.83             0.03               0.75                 0.02
   148      0.21        0.02         0.41           0.01           0.36         0.02          0.06         0.01          0.11          0.02         0.00        0.00         0.24        0.04        0.01      0.01       0.34       0.16       0.41        0.16         0.83             0.02               0.75                 0.02
   149      0.21        0.01         0.41           0.01           0.35         0.02          0.07         0.01          0.12          0.02         0.00        0.00         0.24        0.04        0.01      0.01       0.34       0.16       0.41        0.16         0.84             0.01               0.76                 0.02
   150      0.21        0.01         0.41           0.01           0.36         0.02          0.07         0.01          0.11          0.02         0.00        0.00         0.24        0.04        0.01      0.01       0.34       0.16       0.42        0.16         0.84             0.01               0.76                 0.01
   151      0.21        0.01         0.41           0.02           0.35         0.02          0.06         0.01          0.11          0.01         0.00        0.00         0.24        0.04        0.01      0.01       0.34       0.16       0.41        0.16         0.84             0.01               0.76                 0.01
   152      0.21        0.01         0.42           0.02           0.36         0.03          0.06         0.01          0.11          0.01         0.00        0.00         0.24        0.04        0.01      0.01       0.34       0.16       0.42        0.16         0.84             0.01               0.76                 0.02
   153      0.21        0.01         0.42           0.02           0.36         0.02          0.07         0.01          0.11          0.01         0.00        0.00         0.24        0.04        0.01      0.01       0.34       0.16       0.42        0.16         0.84             0.01               0.76                 0.01
   154      0.21        0.01         0.42           0.02           0.36         0.02          0.07         0.01          0.11          0.02         0.00        0.00         0.24        0.04        0.01      0.01       0.34       0.16       0.42        0.16         0.84             0.00               0.76                 0.01
   155      0.21        0.01         0.42           0.02           0.36         0.02          0.07         0.02          0.11          0.02         0.00        0.00         0.24        0.04        0.01      0.01       0.34       0.16       0.42        0.17         0.84             0.01               0.76                 0.01
   156      0.21        0.01         0.41           0.02           0.36         0.02          0.06         0.01          0.11          0.02         0.00        0.00         0.23        0.04        0.00      0.00       0.34       0.16       0.42        0.17         0.84             0.01               0.77                 0.00
   157      0.21        0.01         0.42           0.01           0.36         0.02          0.06         0.01          0.12          0.01         0.00        0.00         0.24        0.04        0.01      0.01       0.34       0.16       0.42        0.17         0.84             0.01               0.77                 0.01
   158      0.21        0.01         0.42           0.01           0.36         0.02          0.06         0.01          0.12          0.01         0.00        0.00         0.23        0.04        0.00      0.00       0.34       0.16       0.42        0.17         0.85             0.01               0.77                 0.01
   159      0.21        0.01         0.42           0.01           0.36         0.02          0.07         0.01          0.11          0.02         0.00        0.00         0.23        0.04        0.00      0.00       0.34       0.16       0.42        0.17         0.84             0.01               0.77                 0.01
   160      0.21        0.01         0.42           0.01           0.36         0.02          0.07         0.01          0.11          0.01         0.00        0.00         0.23        0.04        0.01      0.01       0.34       0.16       0.42        0.17         0.84             0.01               0.77                 0.01
   161      0.21        0.01         0.41           0.02           0.36         0.02          0.07         0.00          0.11          0.01         0.00        0.00         0.23        0.04        0.01      0.01       0.34       0.16       0.42        0.17         0.84             0.02               0.76                 0.01
   162      0.21        0.01         0.41           0.02           0.36         0.02          0.07         0.00          0.11          0.01         0.00        0.00         0.23        0.04        0.01      0.01       0.34       0.16       0.42        0.17         0.84             0.01               0.76                 0.01
   163      0.21        0.01         0.41           0.02           0.36         0.02          0.07         0.00          0.12          0.02         0.00        0.00         0.23        0.03        0.01      0.01       0.34       0.16       0.42        0.18         0.84             0.01               0.77                 0.01
   164      0.21        0.01         0.41           0.02           0.36         0.02          0.06         0.00          0.11          0.02         0.00        0.00         0.23        0.03        0.01      0.01       0.34       0.16       0.42        0.18         0.84             0.01               0.76                 0.01
   165      0.21        0.01         0.42           0.02           0.36         0.02          0.07         0.01          0.12          0.02         0.00        0.00         0.23        0.03        0.01      0.01       0.34       0.17       0.42        0.18         0.84             0.01               0.76                 0.01
   166      0.21        0.01         0.41           0.02           0.36         0.02          0.06         0.01          0.11          0.01         0.00        0.00         0.23        0.03        0.01      0.01       0.34       0.17       0.43        0.18         0.84             0.01               0.76                 0.01
   167      0.21        0.01         0.41           0.01           0.36         0.02          0.07         0.01          0.12          0.01         0.00        0.00         0.23        0.03        0.00      0.00       0.34       0.16       0.42        0.18         0.84             0.01               0.76                 0.01
   168      0.21        0.01         0.42           0.02           0.36         0.02          0.06         0.01          0.12          0.01         0.00        0.00         0.23        0.03        0.00      0.00       0.34       0.16       0.42        0.18         0.84             0.01               0.76                 0.01
   169      0.21        0.01         0.41           0.02           0.36         0.02          0.06         0.01          0.12          0.01         0.00        0.00         0.23        0.03        0.00      0.00       0.34       0.16       0.42        0.18         0.84             0.02               0.76                 0.01
   170      0.21        0.01         0.42           0.02           0.36         0.02          0.06         0.01          0.12          0.01         0.00        0.00         0.23        0.03        0.01      0.01       0.34       0.16       0.42        0.18         0.84             0.01               0.76                 0.01
   171      0.21        0.01         0.42           0.02           0.36         0.02          0.07         0.01          0.11          0.02         0.00        0.00         0.23        0.03        0.01      0.01       0.34       0.16       0.42        0.18         0.84             0.01               0.77                 0.01
   172      0.21        0.01         0.42           0.02           0.36         0.02          0.06         0.00          0.11          0.02         0.00        0.00         0.23        0.03        0.01      0.01       0.34       0.17       0.42        0.18         0.84             0.01               0.76                 0.00
   173      0.21        0.01         0.42           0.02           0.36         0.02          0.07         0.01          0.11          0.01         0.00        0.00         0.22        0.03        0.01      0.01       0.35       0.17       0.42        0.18         0.84             0.01               0.77                 0.01
   174      0.21        0.01         0.42           0.02           0.36         0.02          0.07         0.01          0.11          0.01         0.00        0.00         0.23        0.03        0.00      0.00       0.35       0.17       0.42        0.18         0.84             0.01               0.77                 0.01
   175      0.21        0.01         0.42           0.02           0.37         0.02          0.06         0.00          0.11          0.01         0.00        0.00         0.22        0.03        0.00      0.00       0.35       0.17       0.42        0.18         0.84             0.01               0.76                 0.00
   176      0.21        0.01         0.42           0.01           0.37         0.02          0.06         0.01          0.11          0.02         0.00        0.00         0.23        0.03        0.00      0.00       0.35       0.17       0.42        0.18         0.85             0.01               0.77                 0.01
   177      0.21        0.01         0.43           0.02           0.36         0.02          0.06         0.01          0.12          0.01         0.00        0.00         0.23        0.02        0.00      0.00       0.35       0.17       0.42        0.18         0.84             0.01               0.77                 0.01
   178      0.22        0.01         0.42           0.02           0.37         0.02          0.06         0.01          0.11          0.02         0.00        0.00         0.23        0.03        0.00      0.00       0.35       0.17       0.42        0.18         0.84             0.01               0.76                 0.01
   179      0.21        0.01         0.42           0.03           0.37         0.01          0.06         0.01          0.11          0.02         0.00        0.00         0.23        0.03        0.01      0.01       0.35       0.17       0.42        0.18         0.84             0.01               0.77                 0.01
   180      0.22        0.01         0.41           0.02           0.37         0.01          0.06         0.01          0.11          0.02         0.00        0.00         0.23        0.03        0.01      0.01       0.35       0.17       0.42        0.18         0.84             0.00               0.76                 0.00
   181      0.21        0.01         0.42           0.02           0.37         0.01          0.06         0.01          0.12          0.02         0.00        0.00         0.23        0.03        0.00      0.00       0.35       0.17       0.42        0.18         0.84             0.01               0.76                 0.01
   182      0.21        0.01         0.42           0.02           0.36         0.02          0.06         0.01          0.11          0.02         0.00        0.00         0.23        0.03        0.01      0.01       0.35       0.17       0.42        0.18         0.84             0.00               0.77                 0.01
   183      0.21        0.01         0.42           0.01           0.37         0.02          0.06         0.01          0.12          0.01         0.00        0.00         0.23        0.03        0.01      0.01       0.35       0.17       0.42        0.18         0.84             0.01               0.76                 0.01
   184      0.21        0.01         0.42           0.02           0.37         0.02          0.07         0.01          0.11          0.01         0.00        0.00         0.22        0.03        0.01      0.01       0.35       0.17       0.42        0.18         0.84             0.01               0.76                 0.01
   185      0.21        0.01         0.42           0.02           0.37         0.02          0.06         0.02          0.11          0.02         0.00        0.00         0.22        0.03        0.01      0.01       0.35       0.17       0.42        0.19         0.84             0.00               0.76                 0.00
   186      0.22        0.01         0.43           0.02           0.37         0.02          0.07         0.02          0.11          0.01         0.00        0.00         0.22        0.03        0.01      0.01       0.35       0.17       0.43        0.19         0.84             0.01               0.76                 0.01
   187      0.21        0.01         0.42           0.02           0.37         0.02          0.07         0.01          0.11          0.01         0.00        0.00         0.22        0.03        0.01      0.01       0.35       0.17       0.43        0.18         0.85             0.01               0.77                 0.01
   188      0.21        0.01         0.43           0.02           0.37         0.02          0.06         0.02          0.11          0.01         0.00        0.00         0.22        0.03        0.01      0.01       0.35       0.17       0.43        0.18         0.84             0.01               0.77                 0.01
   189      0.22        0.01         0.43           0.02           0.37         0.02          0.07         0.01          0.11          0.01         0.00        0.00         0.22        0.03        0.01      0.01       0.35       0.17       0.42        0.19         0.84             0.01               0.76                 0.01
   190      0.21        0.01         0.43           0.02           0.37         0.02          0.07         0.00          0.11          0.01         0.00        0.00         0.22        0.03        0.00      0.01       0.35       0.17       0.42        0.19         0.85             0.00               0.77                 0.00
   191      0.22        0.01         0.44           0.02           0.37         0.02          0.06         0.01          0.11          0.01         0.00        0.00         0.22        0.03        0.00      0.01       0.35       0.17       0.43        0.19         0.85             0.01               0.77                 0.01
   192      0.22        0.01         0.44           0.02           0.37         0.02          0.07         0.01          0.11          0.01         0.00        0.00         0.22        0.03        0.00      0.01       0.35       0.18       0.43        0.19         0.85             0.01               0.77                 0.01
   193      0.21        0.01         0.43           0.02           0.37         0.02          0.06         0.00          0.11          0.01         0.00        0.00         0.22        0.03        0.00      0.01       0.35       0.18       0.43        0.19         0.85             0.01               0.77                 0.01
   194      0.21        0.01         0.43           0.02           0.37         0.02          0.07         0.01          0.11          0.01         0.00        0.00         0.22        0.03        0.00      0.01       0.35       0.18       0.43        0.19         0.84             0.01               0.77                 0.01
   195      0.21        0.01         0.44           0.02           0.37         0.02          0.06         0.01          0.11          0.01         0.00        0.00         0.22        0.02        0.00      0.01       0.35       0.18       0.43        0.19         0.84             0.01               0.76                 0.01
   196      0.22        0.01         0.43           0.03           0.37         0.02          0.06         0.01          0.11          0.02         0.00        0.00         0.22        0.02        0.00      0.01       0.35       0.18       0.43        0.19         0.84             0.01               0.76                 0.01
   197      0.22        0.01         0.43           0.02           0.37         0.02          0.06         0.01          0.11          0.02         0.00        0.00         0.21        0.03        0.00      0.01       0.35       0.18       0.43        0.19         0.84             0.01               0.77                 0.01
   198      0.22        0.01         0.43           0.03           0.37         0.02          0.06         0.01          0.11          0.01         0.00        0.00         0.21        0.03        0.00      0.01       0.35       0.18       0.43        0.19         0.84             0.01               0.76                 0.01
   199      0.22        0.01         0.43           0.03           0.37         0.02          0.06         0.01          0.11          0.01         0.00        0.00         0.21        0.03        0.00      0.01       0.35       0.18       0.43        0.19         0.84             0.01               0.76                 0.01
   200      0.21        0.01         0.44           0.03           0.37         0.02          0.06         0.01          0.11          0.02         0.00        0.00         0.21        0.03        0.00      0.01       0.35       0.18       0.44        0.19         0.84             0.01               0.76                 0.01
